Male - Non-Hispanic White - No, I have graduated - Postdoc - Postdoc 	1 
Male - Non-Hispanic White - No, I have graduated - Postdoc - First Position is Current Position	2 
Male - Non-Hispanic White - No, I have graduated - Postdoc - Research / Technical Staff	1 
Male - Non-Hispanic White - Yes, I am still a student - Still in grad school - 	2 
Female - Non-Hispanic White - No, I have graduated - Postdoc - Postdoc	1
Female - Non-Hispanic White - No, I have graduated - Postdoc - Postdoc	1 
Female - Non-Hispanic White - No, I have graduated - Postdoc - Fellowship	1 
Female - Non-Hispanic White, Latino or Hispanic, Indigenous / First Peoples - No, I have graduated - Fellowship - Fellowship	1 
Male - South Asian - No, I have graduated - Postdoc - Postdoc	1 
Male - Latino or Hispanic - No, I have graduated - Postdoc - Postdoc	1
Female - White, European Descent - Yes, I am still a student -  - 	1 
Male - South Asian - Yes, I am still a student -  - 	2
Female - White, European Descent - No, I have graduated - Education / Outreach Field - Education / Outreach Field	1
Male - White, European Descent - No, I have graduated - Postdoc - First Position is Current Position	2
Female - White, Other - No, I have graduated - Postdoc - First Position is Current Position	7
Male - Black, Caribbean, or African, Latino or Hispanic - No, I have graduated - Research / Technical Staff - Industry	9 
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	1 
Prefer Not To Say - Prefer Not To Say - No, I have graduated - Postdoc - First Position is Current Position	1 
Female - White, European Descent - No, I have graduated - Postdoc - Postdoc	1 
Male - White, European Descent - No, I have graduated - Postdoc - First Position is Current Position	1
Female - White, European Descent - No, I have graduated - Postdoc - Postdoc	1 
Female - White, European Descent - Yes, I am still a student -  - 	4 
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	1 
Female - White, European Descent - No, I have graduated - Fellowship - Tenure Track	1 
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	2
Male - White, European Descent - No, I have graduated - Postdoc - First Position is Current Position	1 
Male - White, European Descent - Yes, I am still a student -  - 	1 
Male - White, European Descent - No, I have graduated - Education / Outreach Field - Education / Outreach Field	2 
Female - White, European Descent - No, I have graduated - Postdoc - Postdoc	1 
Female - White, European Descent - No, I have graduated - Postdoc - Non-Tenure Track / Teaching Position	1
Female - White, European Descent - No, I have graduated - Postdoc - Postdoc	1 
Female - White, Other - No, I have graduated - Fellowship - A Combination of Above Fields	1 
Female - White, European Descent - No, I have graduated - Fellowship - Fellowship	1 
Male - White, Other - No, I have graduated - Industry - First Position is Current Position	1 
Female - White, European Descent - No, I have graduated - Postdoc - Postdoc	1
Male - White, European Descent - No, I have graduated - Fellowship - Postdoc	1 
Female - White, European Descent, South Asian - No, I have graduated - Postdoc - First Position is Current Position	1 
Male - White, Other - No, I have graduated - Postdoc - First Position is Current Position	2 
Transgender - White, European Descent - No, I have graduated - Postdoc - Postdoc	1 
Male - White, European Descent - No, I have graduated - Postdoc - Tenure Track	1
Female - Latino or Hispanic - No, I have graduated - Postdoc - First Position is Current Position	1 
Male - White, European Descent - No, I have graduated - Postdoc - Part Time Postdoc	1 
Male - White, Other - No, I have graduated - Fellowship - First Position is Current Position	1 
Female - White, European Descent, Jewish - No, I have graduated - Postdoc - Research / Technical Staff	2 
Male - White, European Descent - No, I have graduated - Fellowship - Postdoc	1
Female - White, European Descent - Yes, I am still a student -  - 	1 
Female - White, European Descent - Yes, I am still a student -  - 	2 
Male - White, European Descent - Yes, I am still a student -  - 	1 
Female - White, European Descent, Indigenous / First Peoples - Yes, I am still a student -  - 	4 
Male - White, European Descent - No, I have graduated - Tenure Track - Research / Technical Staff	1
Male - White, European Descent - No, I have graduated - Postdoc - Tenure Track	5 
Genderqueer/Androgynous - White, European Descent - No, I have graduated - Postdoc - Postdoc	5 
Female - South Asian - No, I have graduated - Postdoc - Postdoc	1 
Female - Latino or Hispanic - Yes, I am still a student -  - 	10 
Female, Genderqueer/Androgynous, Doesn't give a shit - White, Other, Indigenous / First Peoples - Yes, I am still a student -  - 	1
Male - White, European Descent - No, I have graduated - Fellowship - First Position is Current Position	3 
Female - White, Other - No, I have graduated - Fellowship - Tenure Track	1 
Female - White, European Descent - Yes, I am still a student -  - 	1 
Female - White, Other - No, I have graduated - Tenure Track - Tenure Track	1 
Male - White, European Descent - Yes, I am still a student -  - 	11
Male - White, European Descent - Yes, I am still a student -  - 	1 
Male - White, European Descent - No, I have graduated - Postdoc - Fellowship	1 
Female - White, Other - No, I have graduated - Fellowship - Tenure Track	2 
Male - White, Other - Yes, I am still a student -  - 	1 
Male - White, European Descent - No, I have graduated - Fellowship - Fellowship	1
Female - White, European Descent - No, I have graduated - Postdoc - First Position is Current Position	1 
Female - White, European Descent - No, I have graduated - Postdoc - First Position is Current Position	1
Male - White, European Descent - No, I have graduated - Postdoc - First Position is Current Position	
Male - White, European Descent - Yes, I am still a student -  - 	
Male - White, European Descent - No, I have graduated - Industry - Industry	
Female - White, Other - Yes, I am still a student -  - 	
Male - White, European Descent - No, I have graduated - Research / Technical Staff - Research / Technical Staff	
Male - White, European Descent - Yes, I am still a student -  - 	
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	
Female - White, European Descent - Yes, I am still a student -  - 	
Female - White, Other - No, I have graduated - Postdoc - Tenure Track	
Male - White, European Descent - No, I have graduated - Postdoc - Research / Technical Staff	
Female - White, European Descent, Latino or Hispanic - No, I have graduated - Postdoc - Postdoc	
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	
Male - White, European Descent - Yes, I am still a student -  - 	
Male - White, European Descent - No, I have graduated - Postdoc - Fellowship	
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	
Female - White, Other - No, I have graduated - Fellowship - Tenure Track	
Female - White, European Descent - No, I have graduated - Postdoc - Non-Tenure Track / Teaching Position	
Female - White, Other - No, I have graduated - Postdoc - Fellowship	
Male - White, European Descent - Yes, I am still a student -  - 	
Female - White, European Descent - Yes, I am still a student -  - 	
Female, Transgender - White, European Descent - No, I have graduated - Research / Technical Staff - Research / Technical Staff	
Female - White, Other - Yes, I am still a student -  - 	
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	
Male - Black, Caribbean, or African - Yes, I am still a student -  - 	
Male - White, European Descent - No, I have graduated - Postdoc - Tenure Track	
Female - White, Other - No, I have graduated - Postdoc - Education / Outreach Field	
Female - White, European Descent - No, I have graduated - Postdoc - Postdoc	
Female - White, European Descent - No, I have graduated - Non-Tenure Track / Teaching Position - Non-Tenure Track / Teaching Position 	
Male - Prefer Not To Say - No, I have graduated - Fellowship - Fellowship	
Female - White, European Descent - Yes, I am still a student -  - 	
Male - White, Other - No, I have graduated - Postdoc - First Position is Current Position	
Male - White, European Descent - No, I have graduated - Postdoc - Postdoc	
Male - White, European Descent - Yes, I am still a student -  - 	
Female - White, European Descent - No, I have graduated - Postdoc - Fellowship	
Genderqueer/Androgynous - White, European Descent - Yes, I am still a student -  - 	
Female - White, European Descent - No, I have graduated - Postdoc - Industry	
Male - White, European Descent - No, I have graduated - Fellowship - Fellowship	
