tenure_track-tenure_track-tenure_track-tenure_track-tenure_track-tenure_track,22781
tenure_track-tenure_track-tenure_track-tenure_track-tenure_track-end,3311
tenure_track-tenure_track-tenure_track-tenure_track-tenure_track-postdoc,906
tenure_track-tenure_track-tenure_track-tenure_track-tenure_track-other,1156
tenure_track-tenure_track-tenure_track-tenure_track-tenure_track-fellowship,5969
tenure_track-tenure_track-tenure_track-tenure_track-tenure_track-research_staff,692
tenure_track-tenure_track-tenure_track-tenure_track-end,7059
tenure_track-tenure_track-tenure_track-tenure_track-postdoc-tenure_track,396
tenure_track-tenure_track-tenure_track-tenure_track-postdoc-end,316
tenure_track-tenure_track-tenure_track-tenure_track-postdoc-postdoc,226
tenure_track-tenure_track-tenure_track-tenure_track-postdoc-other,87
tenure_track-tenure_track-tenure_track-tenure_track-postdoc-fellowship,613
tenure_track-tenure_track-tenure_track-tenure_track-postdoc-research_staff,245
tenure_track-tenure_track-tenure_track-tenure_track-other-tenure_track,446
tenure_track-tenure_track-tenure_track-tenure_track-other-end,229
tenure_track-tenure_track-tenure_track-tenure_track-other-postdoc,91
tenure_track-tenure_track-tenure_track-tenure_track-other-other,804
tenure_track-tenure_track-tenure_track-tenure_track-other-fellowship,776
tenure_track-tenure_track-tenure_track-tenure_track-other-research_staff,48
tenure_track-tenure_track-tenure_track-tenure_track-fellowship-tenure_track,3892
tenure_track-tenure_track-tenure_track-tenure_track-fellowship-end,3250
tenure_track-tenure_track-tenure_track-tenure_track-fellowship-postdoc,531
tenure_track-tenure_track-tenure_track-tenure_track-fellowship-other,252
tenure_track-tenure_track-tenure_track-tenure_track-fellowship-fellowship,4876
tenure_track-tenure_track-tenure_track-tenure_track-fellowship-research_staff,476
tenure_track-tenure_track-tenure_track-tenure_track-research_staff-tenure_track,521
tenure_track-tenure_track-tenure_track-tenure_track-research_staff-end,39
tenure_track-tenure_track-tenure_track-tenure_track-research_staff-postdoc,7
tenure_track-tenure_track-tenure_track-tenure_track-research_staff-other,8
tenure_track-tenure_track-tenure_track-tenure_track-research_staff-fellowship,536
tenure_track-tenure_track-tenure_track-tenure_track-research_staff-research_staff,219
tenure_track-tenure_track-tenure_track-end,14262
tenure_track-tenure_track-tenure_track-postdoc-tenure_track-tenure_track,434
tenure_track-tenure_track-tenure_track-postdoc-tenure_track-end,83
tenure_track-tenure_track-tenure_track-postdoc-tenure_track-postdoc,71
tenure_track-tenure_track-tenure_track-postdoc-tenure_track-other,39
tenure_track-tenure_track-tenure_track-postdoc-tenure_track-fellowship,159
tenure_track-tenure_track-tenure_track-postdoc-tenure_track-research_staff,24
tenure_track-tenure_track-tenure_track-postdoc-end,722
tenure_track-tenure_track-tenure_track-postdoc-postdoc-tenure_track,103
tenure_track-tenure_track-tenure_track-postdoc-postdoc-end,64
tenure_track-tenure_track-tenure_track-postdoc-postdoc-postdoc,76
tenure_track-tenure_track-tenure_track-postdoc-postdoc-other,57
tenure_track-tenure_track-tenure_track-postdoc-postdoc-fellowship,116
tenure_track-tenure_track-tenure_track-postdoc-postdoc-research_staff,47
tenure_track-tenure_track-tenure_track-postdoc-other-tenure_track,32
tenure_track-tenure_track-tenure_track-postdoc-other-end,13
tenure_track-tenure_track-tenure_track-postdoc-other-postdoc,21
tenure_track-tenure_track-tenure_track-postdoc-other-other,93
tenure_track-tenure_track-tenure_track-postdoc-other-fellowship,33
tenure_track-tenure_track-tenure_track-postdoc-other-research_staff,6
tenure_track-tenure_track-tenure_track-postdoc-fellowship-tenure_track,252
tenure_track-tenure_track-tenure_track-postdoc-fellowship-end,304
tenure_track-tenure_track-tenure_track-postdoc-fellowship-postdoc,258
tenure_track-tenure_track-tenure_track-postdoc-fellowship-other,25
tenure_track-tenure_track-tenure_track-postdoc-fellowship-fellowship,573
tenure_track-tenure_track-tenure_track-postdoc-fellowship-research_staff,69
tenure_track-tenure_track-tenure_track-postdoc-research_staff-tenure_track,119
